Data Series,Electricity Consumption
1975 Jan ,341.8
1975 Feb ,289.6
1975 Mar ,342.8
1975 Apr ,348.6
1975 May ,351.4
1975 Jun ,343.3
1975 Jul ,359.7
1975 Aug ,363
1975 Sep ,359.1
1975 Oct ,368.5
1975 Nov ,345.6
1975 Dec ,362.3
1976 Jan ,351.4
1976 Feb ,332.3
1976 Mar ,381.2
1976 Apr ,374.5
1976 May ,388.6
1976 Jun ,382
1976 Jul ,396.9
1976 Aug ,402.8
1976 Sep ,396.8
1976 Oct ,402.4
1976 Nov ,401.6
1976 Dec ,394.4
1977 Jan ,404.2
1977 Feb ,343.4
1977 Mar ,421.6
1977 Apr ,420.9
1977 May ,443
1977 Jun ,428.7
1977 Jul ,440.8
1977 Aug ,437.4
1977 Sep ,431.1
1977 Oct ,455.1
1977 Nov ,432.5
1977 Dec ,456
1978 Jan ,459
1978 Feb ,397.4
1978 Mar ,482
1978 Apr ,471.9
1978 May ,495.4
1978 Jun ,488.3
1978 Jul ,506.1
1978 Aug ,526
1978 Sep ,504.3
1978 Oct ,529.9
1978 Nov ,514.7
1978 Dec ,522.9
1979 Jan ,510.3
1979 Feb ,485
1979 Mar ,553.1
1979 Apr ,524
1979 May ,550.8
1979 Jun ,532.6
1979 Jul ,554.1
1979 Aug ,546.6
1979 Sep ,538.2
1979 Oct ,564.1
1979 Nov ,540.5
1979 Dec ,548.5
1980 Jan ,564.3
1980 Feb ,504.8
1980 Mar ,584.2
1980 Apr ,561.6
1980 May ,595.7
1980 Jun ,584.4
1980 Jul ,614.2
1980 Aug ,570.7
1980 Sep ,590.8
1980 Oct ,608.7
1980 Nov ,574.6
1980 Dec ,586.5
1981 Jan ,597.1
1981 Feb ,513.9
1981 Mar ,631.8
1981 Apr ,615.1
1981 May ,634.4
1981 Jun ,639.2
1981 Jul ,652.6
1981 Aug ,638.5
1981 Sep ,629.1
1981 Oct ,638.6
1981 Nov ,630.7
1981 Dec ,620.9
1982 Jan ,582.7
1982 Feb ,590.4
1982 Mar ,674.7
1982 Apr ,642
1982 May ,676.1
1982 Jun ,673.9
1982 Jul ,679.2
1982 Aug ,676.6
1982 Sep ,664.6
1982 Oct ,683.6
1982 Nov ,658.4
1982 Dec ,657.3
1983 Jan ,667.3
1983 Feb ,586.9
1983 Mar ,727.4
1983 Apr ,719
1983 May ,727.1
1983 Jun ,728.4
1983 Jul ,741.1
1983 Aug ,764.2
1983 Sep ,730.7
1983 Oct ,771
1983 Nov ,730.4
1983 Dec ,732.4
1984 Jan ,736.6
1984 Feb ,669.4
1984 Mar ,793.3
1984 Apr ,778.6
1984 May ,810.2
1984 Jun ,790.8
1984 Jul ,816.2
1984 Aug ,828
1984 Sep ,777.9
1984 Oct ,819.8
1984 Nov ,807.3
1984 Dec ,792.6
1985 Jan ,832.9
1985 Feb ,725.3
1985 Mar ,846.5
1985 Apr ,836.8
1985 May ,872.9
1985 Jun ,818.3
1985 Jul ,847.6
1985 Aug ,829.1
1985 Sep ,815.7
1985 Oct ,845.2
1985 Nov ,796.2
1985 Dec ,809.8
1986 Jan ,819.2
1986 Feb ,727.4
1986 Mar ,849.7
1986 Apr ,866.3
1986 May ,917.4
1986 Jun ,872.4
1986 Jul ,914.7
1986 Aug ,929.6
1986 Sep ,906.5
1986 Oct ,943.5
1986 Nov ,903.3
1986 Dec ,926.5
1987 Jan ,879.1
1987 Feb ,838.9
1987 Mar ,980.1
1987 Apr ,965.2
1987 May ,961.7
1987 Jun ,"1,002.50"
1987 Jul ,"1,045.20"
1987 Aug ,"1,000.70"
1987 Sep ,"1,020.80"
1987 Oct ,"1,063"
1987 Nov ,"1,025.40"
1987 Dec ,"1,031.20"
1988 Jan ,"1,035"
1988 Feb ,945.5
1988 Mar ,"1,087.80"
1988 Apr ,"1,069.10"
1988 May ,"1,098.80"
1988 Jun ,"1,115"
1988 Jul ,"1,108.80"
1988 Aug ,"1,122.70"
1988 Sep ,"1,098.30"
1988 Oct ,"1,140.60"
1988 Nov ,"1,086.40"
1988 Dec ,"1,109.50"
1989 Jan ,"1,136.60"
1989 Feb ,964.4
1989 Mar ,"1,134.90"
1989 Apr ,"1,155"
1989 May ,"1,188.40"
1989 Jun ,"1,185"
1989 Jul ,"1,208.60"
1989 Aug ,"1,225.50"
1989 Sep ,"1,188.40"
